id,x,y,z,yaw,asset_bp
01,294.51,-235.75,0.2,0,static.prop.constructioncone
02,294.51,-232.77,0.2,0,static.prop.constructioncone
03,294.51,-229.52,0.2,0,static.prop.constructioncone
04,294.51,-226.40,0.2,0,static.prop.constructioncone
05,294.51,-223.40,0.2,0,static.prop.constructioncone
06,294.51,-220.17,0.2,0,static.prop.constructioncone

07,293.51,-235.75,0.2,0,static.prop.constructioncone
08,293.51,-232.77,0.2,0,static.prop.constructioncone
09,293.51,-229.52,0.2,0,static.prop.constructioncone
10,293.51,-226.40,0.2,0,static.prop.constructioncone
11,293.51,-223.40,0.2,0,static.prop.constructioncone
12,293.51,-220.17,0.2,0,static.prop.constructioncone

13,292.51,-235.75,0.2,0,static.prop.constructioncone
14,292.51,-232.77,0.2,0,static.prop.constructioncone
15,292.51,-229.52,0.2,0,static.prop.constructioncone
16,292.51,-226.40,0.2,0,static.prop.constructioncone
17,292.51,-223.40,0.2,0,static.prop.constructioncone
18,292.51,-220.17,0.2,0,static.prop.constructioncone

19,291.51,-235.75,0.2,0,static.prop.constructioncone
20,291.51,-232.77,0.2,0,static.prop.constructioncone
21,291.51,-229.52,0.2,0,static.prop.constructioncone
22,291.51,-226.40,0.2,0,static.prop.constructioncone
23,291.51,-223.40,0.2,0,static.prop.constructioncone
24,291.51,-220.17,0.2,0,static.prop.constructioncone

25,290.51,-235.75,0.2,0,static.prop.constructioncone
26,290.51,-232.77,0.2,0,static.prop.constructioncone
27,290.51,-229.52,0.2,0,static.prop.constructioncone
28,290.51,-226.40,0.2,0,static.prop.constructioncone
29,290.51,-223.40,0.2,0,static.prop.constructioncone
30,290.51,-220.17,0.2,0,static.prop.constructioncone

31,289.51,-235.75,0.2,0,static.prop.constructioncone
32,289.51,-232.77,0.2,0,static.prop.constructioncone
33,289.51,-229.52,0.2,0,static.prop.constructioncone
34,289.51,-226.40,0.2,0,static.prop.constructioncone
35,289.51,-223.40,0.2,0,static.prop.constructioncone
36,289.51,-220.17,0.2,0,static.prop.constructioncone

37,294.51,-234.75,0.2,0,static.prop.constructioncone
38,294.51,-231.77,0.2,0,static.prop.constructioncone
39,294.51,-228.52,0.2,0,static.prop.constructioncone
40,294.51,-225.40,0.2,0,static.prop.constructioncone
41,294.51,-222.40,0.2,0,static.prop.constructioncone

42,294.51,-233.75,0.2,0,static.prop.constructioncone
43,294.51,-230.77,0.2,0,static.prop.constructioncone
44,294.51,-227.52,0.2,0,static.prop.constructioncone
45,294.51,-224.40,0.2,0,static.prop.constructioncone
46,294.51,-221.40,0.2,0,static.prop.constructioncone

47,280.50,-236.17,0.3,0,static.prop.trafficwarning
