id,x,y,z,yaw,asset_bp
01,294.51,-235.75,0.2,0,static.prop.constructioncone
02,294.51,-232.77,0.2,0,static.prop.constructioncone
03,294.51,-229.52,0.2,0,static.prop.constructioncone
04,294.51,-226.40,0.2,0,static.prop.constructioncone
05,294.51,-223.40,0.2,0,static.prop.constructioncone

06,293.51,-235.75,0.2,0,static.prop.constructioncone
07,293.51,-229.52,0.2,0,static.prop.constructioncone
08,293.51,-223.40,0.2,0,static.prop.constructioncone

09,292.51,-235.75,0.2,0,static.prop.constructioncone
10,292.51,-229.52,0.2,0,static.prop.constructioncone
11,292.51,-223.40,0.2,0,static.prop.constructioncone

12,291.51,-235.75,0.2,0,static.prop.constructioncone
13,291.51,-229.52,0.2,0,static.prop.constructioncone
14,291.51,-223.40,0.2,0,static.prop.constructioncone

15,294.51,-234.75,0.2,0,static.prop.constructioncone
16,294.51,-231.77,0.2,0,static.prop.constructioncone
17,294.51,-228.52,0.2,0,static.prop.constructioncone
18,294.51,-225.40,0.2,0,static.prop.constructioncone

19,294.51,-233.75,0.2,0,static.prop.constructioncone
20,294.51,-230.77,0.2,0,static.prop.constructioncone
21,294.51,-227.52,0.2,0,static.prop.constructioncone
22,294.51,-224.40,0.2,0,static.prop.constructioncone

23,280.50,-236.17,0.3,0,static.prop.trafficwarning
